鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
大里區,房地(土地+建物),臺中市大里區新南路１４０號六樓之１,9.9,住,,,1131101,土地1建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0800515,58.45,1,1,1,有,有,3500000,59880,,0.0,0,,RPPOMLPJJIJGFIB97DA,31.97,0.0,4.74,有,
西屯區,房地(土地+建物),臺中市西屯區福安十街４７巷１５號二樓,24.4,住,,,1131101,土地1建物1車位0,二層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0790614,99.82,3,2,1,有,無,7500000,75135,,0.0,0,,RPPRMLLJJIJGFCB27DA,69.49,0.0,9.97,有,
大里區,車位,立中街１３８號等（公共設施）,0.22,商,,,1131102,土地1建物0車位1,,,其他,,,,0.0,0,0,0,無,有,1500000,,坡道平面,32.12,1500000,僅車位交易；,RPOOMLPJJIJGFIB87DA,0.0,0.0,0.0,有,
龍井區,土地,新庄段568-21地號,119.08,,鄉村區,乙種建築用地,1131102,土地6建物0車位0,,,其他,,,,0.0,0,0,0,無,無,7200000,60464,,0.0,0,共有568-21地號土地持分買賣，568-21地號相應之法院判決巷道使用之五筆土地持分。親友、員工、共有人或其他特殊關係間之交易；,RPPNMLQJJIJGFKB18DA,0.0,0.0,0.0,無,00001
大肚區,土地,榮華段293-3地號,122.05,住,,,1131101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4430412,36300,,0.0,0,,RPPNMLMKJIJGFKB87DA,0.0,0.0,0.0,無,
潭子區,房地(土地+建物),臺中市潭子區復興路一段１４０巷２７之３號,37.59,住,,,1131103,土地2建物1車位0,四層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0800917,129.72,3,2,2,有,無,5000000,38545,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLSJJIJGFHB18EA,101.26,1.4,9.38,有,
東區,房地(土地+建物),臺中市東區建德街３６９巷７號,26.87,住,,,1131107,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1010925,79.45,4,2,3,有,有,9216666,116006,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPOQMLNKJIJGFAB17DA,68.06,0.0,3.02,無,00002
西屯區,土地,廣明段855地號,114.16,都市：其他:第二種創新研發專用區,,,1131101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,0,0,,0.0,0,預售屋、或土地及建物分件登記案件；,RPRPMLLKJIJGFCB37DA,0.0,0.0,0.0,無,00003
大甲區,土地,致用段453地號,129.26,住,,,1131105,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,12137514,93900,,0.0,0,協議價購；,RPUNMLMKJIJGFEB77DA,0.0,0.0,0.0,無,
清水區,土地,海濱段2194-1地號,630.33,住,,,1131107,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,23833750,37812,,0.0,0,,RPRNMLMKJIJGFFB57DA,0.0,0.0,0.0,無,00004
