鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
龍井區,土地,東園段609地號,8.7,,山坡地保育區,丙種建築用地,1130501,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,300000,34483,,0.0,0,,RPQNMLMJNHJGFKB18DA,0.0,0.0,0.0,無,00001
龍井區,土地,龍泉段498地號,0.3,,,,1130504,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,14595,0,,0.0,0,公共設施保留地,RPSNMLNJNHJGFKB48DA,0.0,0.0,0.0,無,
神岡區,房地(土地+建物),臺中市神岡區東洲路２４６號,4270.03,農,,,1130505,土地2建物1車位0,全,二層,透天厝,農業用,鋼骨造,0990702,610.4,9,4,7,有,無,70000000,114679,,0.0,0,,RPVNMLRJNHJGFDB48DA,583.77,0.0,26.63,無,
西屯區,房地(土地+建物),臺中市西屯區工業區一路５８巷１１弄６號三樓之３７,5.99,住,,,1130501,土地1建物1車位0,三層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0800911,37.96,1,0,1,有,有,2680000,70601,,0.0,0,,RPSPMLMJNHJGFCB77DA,22.32,0.0,3.15,有,
外埔區,土地,水美南段425地號,877.44,,特定農業區,農牧用地,1130505,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2015000,2296,,0.0,0,,RPSOMLMJNHJGFEB87DA,0.0,0.0,0.0,無,
外埔區,土地,水美南段426地號,1056.49,,特定農業區,農牧用地,1130505,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2425000,2295,,0.0,0,,RPTOMLMJNHJGFEB97DA,0.0,0.0,0.0,無,
太平區,土地,頭汴坑段892地號,9751.0,,山坡地保育區,林業用地,1130505,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,5000000,513,,0.0,0,,RPPNMLTJNHJGFJB68DA,0.0,0.0,0.0,無,
太平區,土地,頭汴坑段201-13地號,9100.0,,山坡地保育區,農牧用地,1130501,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,5000000,549,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPRNMLTJNHJGFJB88DA,0.0,0.0,0.0,無,
梧棲區,土地,興農段66地號,97.9,商,,,1130503,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,5034210,51422,,0.0,0,買方有2人,RPOPMLTJNHJGFFB38DA,0.0,0.0,0.0,無,
西區,房地(土地+建物),臺中市西區公正路１２３號３樓之２,8.19,住,,,1130503,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840911,54.599999999999994,1,1,1,有,有,4500000,82418,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPTOMLQJNHJGFAB97DA,31.18,0.83,3.18,有,
西屯區,土地,龍富段146地號,878.95,住,,,1130506,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,316880000,360521,,0.0,0,,RPSPMLNJNHJGFCB87DA,0.0,0.0,0.0,無,00002
西區,房地(土地+建物),臺中市西區三民路１段５０巷８號１７樓之１１,2.76,商,,,1130502,土地2建物1車位0,十七層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840113,36.29,1,0,1,有,有,2350000,64756,,0.0,0,,RPRNMLSJNHJGFAB87DA,20.92,0.0,1.73,有,
西區,房地(土地+建物),臺中市西區民權路１８５號九樓之８,13.52,商,,,1130507,土地3建物1車位0,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0720819,165.88,4,3,2,有,有,9780000,58958,,0.0,0,,RPSNMLNKNHJGFAB57DA,108.57,0.0,10.62,有,00003
北屯區,房地(土地+建物),臺中市北屯區北屯路２４０巷１００號６樓,7.01,住,,,1130506,土地1建物1車位0,六層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0810627,65.12,1,1,1,有,有,4900000,75246,,0.0,0,,RPSPMLSJNHJGFBB28DA,45.69,0.0,4.91,有,00004
西屯區,土地,廣福段136-14地號,17.47,農,,,1130507,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1003200,57424,,0.0,0,包含公共設施保留地用地；,RPQOMLOKNHJGFCB77DA,0.0,0.0,0.0,無,
西屯區,房地(土地+建物),臺中市西屯區福聯街２２巷１２號四樓之３８,3.09,住,,,1130505,土地1建物1車位0,四層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830930,20.13,1,0,1,有,有,1600000,79483,,0.0,0,,RPSUMLOKNHJGFCB58DA,12.12,0.0,1.41,有,
神岡區,土地,厚生段406地號,220.02,都市：其他:道路用地,,,1130507,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,15401400,70000,,0.0,0,協議價購；,RPSNMLRJNHJGFDB18DA,0.0,0.0,0.0,無,
大安區,房地(土地+建物),臺中市大安區南北九路６７號,82.0,,特定農業區,甲種建築用地,1130510,土地1建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土加強磚造,0690529,127.35,5,2,3,有,無,4500000,35336,,0.0,0,未登記建物；,RPPNMLKKNHJGFEB37DA,127.35,0.0,0.0,無,
梧棲區,土地,三民段71地號,1501.0,住,,,1130502,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,88539750,58987,,0.0,0,未登記建物；,RPPNMLOKNHJGFFB87DA,0.0,0.0,0.0,無,00005
大甲區,土地,西勢段216-3地號,343.0,,特定農業區,甲種建築用地,1130508,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3942785,11495,,0.0,0,,RPQNMLOKNHJGFEB97EA,0.0,0.0,0.0,無,
北屯區,土地,松觀段26地號,61.0,都市：其他:排水道用地,,,1130501,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,10147500,166352,,0.0,0,包含公共設施保留地用地；,RPWQMLOKNHJGFBB48DA,0.0,0.0,0.0,無,
北屯區,土地,松觀段29地號,33.0,都市：其他:園道用地,,,1130501,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,5489000,166333,,0.0,0,包含公共設施保留地用地；,RPXQMLOKNHJGFBB58DA,0.0,0.0,0.0,無,
北屯區,土地,松觀段30地號,137.0,都市：其他:排水道用地,,,1130501,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,22792000,166365,,0.0,0,包含公共設施保留地用地；,RPORMLOKNHJGFBB77DA,0.0,0.0,0.0,無,
西屯區,房地(土地+建物),臺中市西屯區烈美街４０巷２號,46.5,住,,,1130503,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,0700729,55.68,4,2,2,有,無,7500000,134698,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPQMLNJNHJGFCB67DA,55.68,0.0,0.0,無,
西屯區,房地(土地+建物),臺中市西屯區工業區一路５８巷１１弄６號十一樓之２７,4.88,住,,,1130501,土地1建物1車位0,十一層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0800911,30.400000000000002,1,1,1,有,有,2700000,88816,,0.0,0,,RPUNMLNKNHJGFCB97DA,17.9,0.0,2.79,有,
