鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
大社區,土地,翠屏段1320地號,0.5,住,,,1101202,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,120000,0,,0.0,0,含土地增值稅或其他稅費；含地政士服務費；親友、員工、共有人或其他特殊關係間之交易；,RPRNMLMJKIGGFIE87DA,0.0,0.0,0.0,無,
路竹區,土地,華正段185地號,5783.76,,一般農業區,丁種建築用地,1101201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,36768620,6357,,0.0,0,含土地增值稅或其他稅費；含地政士服務費；,RPQOMLTJKIGGFJE68DA,0.0,0.0,0.0,無,
三民區,土地,三塊厝段1146-17地號,49.0,都市：其他:道路用地,,,1101201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1600000,32653,,0.0,0,包含公共設施保留地用地；,RPQOMLLJKIGGFDE27DA,0.0,0.0,0.0,無,
燕巢區,土地,千秋寮段47地號,216.38,,森林區,丙種建築用地,1101203,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2000000,9243,,0.0,0,,RPSNMLNJKIGGFFE77DA,0.0,0.0,0.0,無,
路竹區,土地,華正段185-1地號,665.69,,一般農業區,國土保安用地,1101201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1331380,2000,,0.0,0,含土地增值稅或其他稅費；含地政士服務費；,SPQOMLTJKIGGFJE78DA,0.0,0.0,0.0,無,
湖內區,房地(土地+建物),高雄市湖內區長春四街７２巷４６號,90.2,住,,,1101101,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0940822,181.99,5,2,4,有,無,9550000,52475,,0.0,0,,RPSNMLSJJIGGFJE58DA,171.4,0.0,10.59,無,00001
杉林區,土地,杉林段67地號,1818.67,,特定農業區,農牧用地,1101101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2500000,1375,,0.0,0,,RPSNMLTJJIGGFHE48DA,0.0,0.0,0.0,無,00002
六龜區,土地,長生段291地號,1266.51,,山坡地保育區,農牧用地,1101102,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,600000,474,,0.0,0,,RPPNMLSJJIGGFKE38DA,0.0,0.0,0.0,無,
杉林區,土地,上平段1062地號,250.91,,鄉村區,乙種建築用地,1101102,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1518000,6050,,0.0,0,未登記建物；,RPQNMLRJJIGGFHE08DA,0.0,0.0,0.0,無,00003
楠梓區,房地(土地+建物),高雄市楠梓區壽民路７６之４號,36.83,住,,,1101101,土地2建物1車位0,四層,四層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0670920,77.44,4,1,4,有,無,4930000,63662,,0.0,0,頂樓加蓋；,RPXPMLLJJIGGFEE08DA,77.44,0.0,0.0,無,
大寮區,土地,會結南段806-12地號,284.52,農,,,1101101,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,6300000,22143,,0.0,0,未登記建物；,RPUNMLMJJIGGFLE38DA,0.0,0.0,0.0,無,00004
苓雅區,房地(土地+建物),高雄市苓雅區福建街３１５號八樓之３,13.15,,,,1101103,土地1建物1車位0,八層,十七層,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,0770627,119.63,3,2,2,有,有,6000000,50155,,0.0,0,,RPQNMLSJJIGGFBE67EA,80.81,0.0,17.32,有,
