鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
八德區,房地(土地+建物),桃園市八德區介壽路二段４９０巷４５弄２衖４之１號,25.07,,鄉村區,乙種建築用地,1130903,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730310,90.0,3,2,1,有,無,7800000,86667,,0.0,0,,RPRNMLPJRHJGFFH09DA,76.74,0.0,13.26,無,
中壢區,土地,崇德段845地號,2073.26,,特定農業區,農牧用地,1130802,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,17560480,8470,,0.0,0,未登記建物；,RPQRMLPJQHJGFBH88DA,0.0,0.0,0.0,無,
八德區,土地,白鷺段584地號,103.31,農,,,1130801,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1404000,13590,,0.0,0,農業設施；畸零地或有合併使用效益；,RPWNMLQJQHJGFFH96DA,0.0,0.0,0.0,無,00001
龜山區,土地,善捷段470地號,160.3,農,,,1130804,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,9000000,56145,,0.0,0,未登記建物；,RPOOMLPJQHJGFHH98DA,0.0,0.0,0.0,無,
大溪區,土地,慈康段241地號,36.88,,風景區,農牧用地,1130801,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,223131,6050,,0.0,0,,RPRNMLMKQHJGFCH58EA,0.0,0.0,0.0,無,00002
龍潭區,房地(土地+建物),桃園市龍潭區聖亭路八德段４５１巷１７０弄６７號,25.83,,一般農業區,甲種建築用地,1130806,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0820802,65.24,4,2,3,有,無,3000000,45984,,0.0,0,含裝潢費100000元；含傢俱設備費300000元；,RPSNMLMKQHJGFCH68EA,56.17,5.17,3.9,無,
大園區,土地,橫埔段368地號,120.0,住,,,1130802,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,12700000,105833,,0.0,0,,RPQNMLSJQHJGFEH56EA,0.0,0.0,0.0,無,
桃園區,車位,桃園區大興西路二段５５號一樓之１等,0.53,住,,,1130806,土地1建物1車位1,,,其他,,,,39.89,0,0,0,無,有,2050000,,坡道平面,39.89,2050000,僅車位交易；,RPTRMLTJQHJGFAH86DA,0.0,0.0,0.0,有,
桃園區,房地(土地+建物),桃園市桃園區民光東路１９４之１號二樓,10.35,住,,,1130806,土地1建物1車位0,二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0920918,89.62,2,1,1,有,有,8600000,95961,,0.0,0,,RPTSMLTJQHJGFAH96DA,57.38,1.36,6.16,有,00003
龍潭區,土地,高平段1497地號,447.09,,山坡地保育區,農牧用地,1130803,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1000000,2237,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPTNMLPJQHJGFCH88DA,0.0,0.0,0.0,無,
龜山區,房地(土地+建物),桃園市龜山區明德路３２６號三樓之８,11.82,住,,,1130802,土地1建物1車位0,三層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0900425,30.14,1,0,1,有,有,2550000,84605,,0.0,0,,RPRNMLTJQHJGFHH96DA,21.87,0.0,2.6,有,
龍潭區,房地(土地+建物)+車位,桃園市龍潭區百年路４１號七樓之五,49.68,,鄉村區,乙種建築用地,1130802,土地2建物1車位1,七層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860130,197.65,3,2,2,有,有,1859720,9409,一樓平面,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPTNMLMKQHJGFCH78EA,131.24,0.45,13.67,有,
中壢區,房地(土地+建物),桃園市中壢區大智街１０號二樓之８,4.88,住,,,1130803,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0780529,20.68,0,0,0,無,有,2010000,97195,,0.0,0,,RPXPMLRJQHJGFBH96DA,15.4,0.0,0.0,無,00004
大溪區,房地(土地+建物),桃園市大溪區大鶯路６０巷２４２號,22.24,,特定農業區,甲種建築用地,1130805,土地1建物1車位0,一層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850626,73.9,4,1,1,有,有,4000000,54127,,0.0,0,,RPXNMLOKQHJGFCH66DA,47.82,2.58,3.3,有,
中壢區,車位,九和一街１８號六樓之２等,0.5,商,,,1130805,土地1建物1車位1,,,其他,,,,39.44,0,0,0,無,有,1700000,,坡道平面,39.43,1700000,僅車位交易；,RPUPMLOKQHJGFBH09DA,0.0,0.0,0.0,有,00005
八德區,房地(土地+建物),桃園市八德區建國路１００１號,7.69,住,,,1130801,土地2建物1車位0,全,二層,透天厝,住工用,加強磚造,0621130,14.91,3,1,1,有,無,1150000,77129,,0.0,0,土地價格:壹佰壹拾肆萬伍仟元正，房屋價格:5000元 年久失修親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPRNMLNKQHJGFFH88DA,14.91,0.0,0.0,無,00006
八德區,房地(土地+建物),桃園市八德區建國路１００１號,7.69,住,,,1130801,土地2建物1車位0,全,二層,透天厝,住工用,加強磚造,0621130,14.91,3,1,1,有,無,1150000,77129,,0.0,0,土地價格:壹佰壹拾肆萬伍仟元正，房屋價格:5000元 年久失修親友、員工、共有人或其他特殊關係間之交易；未登記建物；,SPRNMLNKQHJGFFH98DA,14.91,0.0,0.0,無,00006
龜山區,房地(土地+建物)+車位,桃園市龜山區萬壽路二段１１９９巷８８號六樓,18.43,工,,,1130805,土地1建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),辦公用,鋼筋混凝土造,1110426,109.43,0,0,0,無,有,10800000,98693,坡道平面,21.54,0,,RPPOMLMKQHJGFHH88DA,49.8,3.24,4.2,有,00008
中壢區,房地(土地+建物),桃園市中壢區仁愛路７２號,170.0,住,,,1130804,土地1建物1車位0,全,二層,透天厝,住商用,加強磚造,0690825,177.52,0,0,0,無,無,28500000,160545,,0.0,0,其他增建；,RPSNMLNKQHJGFBH68EA,177.52,0.0,0.0,無,
中壢區,房地(土地+建物),桃園市中壢區光華三街２３號,34.5,住,,,1130814,土地3建物1車位0,一層，騎樓,四層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,0710406,89.42,2,1,1,有,無,15000000,167748,,0.0,0,,RPPNMLOKQHJGFBH48EA,84.12,0.0,5.3,無,00009
楊梅區,土地,楊富段486地號,31.04,,特定農業區,農牧用地,1130806,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,300000,9665,,0.0,0,,RPWNMLQJQHJGFDH76DA,0.0,0.0,0.0,無,00010
桃園區,土地,富國段481地號,727.75,住,,,1130806,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,202530000,278296,,0.0,0,地上建物及地上物皆屬本案買賣範圍內但不予計價。未登記建物；,RPVOMLMKQHJGFAH78DA,0.0,0.0,0.0,無,
桃園區,土地,富國段481地號,14.65,住,,,1130806,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4076000,278225,,0.0,0,地上建物及地上物皆屬本案買賣範圍內但不予計價。未登記建物；,RPSOMLNKQHJGFAH58DA,0.0,0.0,0.0,無,
中壢區,房地(土地+建物),桃園市中壢區執信一街１７３之２５號八樓,5.36,住,,,1130804,土地1建物1車位0,八層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0870902,33.870000000000005,1,1,1,有,有,3900000,115146,,0.0,0,,RPUPMLQJQHJGFBH56DA,23.47,0.0,2.7,有,
觀音區,土地,草富段445地號,105.66,住,,,1130807,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,5000000,47322,,0.0,0,,RPOPMLRJQHJGFBH68DA,0.0,0.0,0.0,無,00011
觀音區,土地,觀新段39地號,3.92,,一般農業區,農牧用地,1130802,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,30000,7653,,0.0,0,,RPPRMLMKQHJGFBH58DA,0.0,0.0,0.0,無,
